MOF ref,CO2 BE kJ/mol,H2O BE kJ/mol,N2 BE kJ/mol,BE(H2O)-BE(CO2)
ASUJIJ,-40.2534,-47.48898,-21.66076,-7.23558
QOZGAP,-46.50668,-53.74226,-22.05786,-7.23558
MIHHUG,-42.3016,-49.53718,-23.04852,-7.23558
ONUKAL,-61.78876,-69.0327,-42.04662,-7.24394
COYJIL,-39.8981,-47.14204,-24.25654,-7.24394
JUVWUU,-49.74618,-57.0152,-25.83658,-7.26902
MIDRAT,-34.66474,-41.94212,-21.91992,-7.2732
KUYPIF,-49.7629,-57.0779,-26.43014,-7.315
OMAXEG,-35.54254,-42.85754,-23.10286,-7.315
SOQHIR01,-38.31806,-45.6456,-19.88844,-7.32336
WOYWEO,-36.98882,-44.33308,-21.61478,-7.34426
LABKIL,-46.64044,-54.0056,-26.29638,-7.36516
HOKLOK,-36.35764,-43.7437,-21.109,-7.38188
BARZUR,-31.94356,-39.35888,-18.56338,-7.41532
JASNEX,-39.57624,-47.0041,-21.76944,-7.42786
LABZOG,-31.8516,-39.30872,-17.33028,-7.45712
SAHWEG,-36.46632,-43.92762,-20.19776,-7.4613
OGUPIQ,-41.79582,-49.26548,-23.95558,-7.46548
TOHQEO,-34.9657,-42.45208,-21.2762,-7.48638
VOCNOQ,-52.82684,-60.34666,-24.5993,-7.51982
ZIKCAZ,-42.01318,-49.53718,-24.89608,-7.51982
HUTZAX01,-32.26542,-39.7936,-19.57076,-7.524
DUQSEO,-119.86986,-127.41894,-54.01396,-7.54908
ZOTTIN,-45.92148,-53.55834,-25.78224,-7.63686
NANNEY,-42.75722,-50.40244,-22.60962,-7.64522
YUBQET,-39.08718,-46.74076,-21.53954,-7.65776
LOMMOR,-34.60204,-42.27652,-19.85918,-7.67866
HOYQUJ,-37.5782,-45.30284,-19.71706,-7.72464
GUMDEZ,-38.1843,-45.9173,-20.69518,-7.73718
XOMCOT,-43.23792,-50.97928,-24.28162,-7.74136
ATIBOU,-32.39082,-40.18234,-17.81934,-7.79152
KUNWEW,-46.74912,-54.5699,-23.37456,-7.82078
DEJCIF,-36.98464,-44.8096,-18.78492,-7.82496
TEPGUS,-36.32838,-44.17424,-22.06204,-7.84586
NEJSIG,-31.559,-39.4174,-18.54248,-7.86258
MOPGIJ,-38.57722,-46.44816,-19.8759,-7.86676
WAQTAM,-38.85728,-46.73658,-21.54372,-7.8793
WOBHOM,-29.1346,-37.01808,-17.02096,-7.88348
QIVBUT,-39.52608,-47.43046,-24.82502,-7.90438
LAGHIL,-51.9574,-59.87432,-31.93938,-7.91692
FIPWUY,-49.32818,-57.25764,-42.8241,-7.92946
IXAMEA,-31.11174,-39.04956,-17.58108,-7.93364
TOXHAR,-35.04094,-42.98294,-19.7296,-7.942
KAYBIX,-39.42576,-47.36776,-19.437,-7.94618
FOWTOC,-35.03258,-43.0122,-21.18006,-7.9838
GIWMUV,-22.16236,-30.17542,-1.05336,-8.01306
EKIGIQ,-42.8659,-50.88314,-23.44562,-8.01306
CELKEL,-34.50172,-42.53568,-17.43896,-8.03396
NAWWUG,-44.01958,-52.05354,-23.4916,-8.03396
DIGFAC,-32.61236,-40.67558,-20.20194,-8.0674
DACYAI,-36.05668,-44.16588,-27.31212,-8.11338
LOCZOU,-37.23126,-45.36554,-20.52798,-8.13428
HORCOH,-46.26842,-54.42778,-21.89066,-8.15936
LIWXIZ,-33.231,-41.40708,-19.6042,-8.18026
KOZSOJ,-30.89438,-39.07464,-16.97916,-8.18026
UFATEA01,-33.61138,-41.8418,-20.19776,-8.23042
MAJHOW,-48.33752,-56.5763,-23.52086,-8.2346
IDAGUR,-40.48748,-48.75552,-17.65214,-8.26804
DOYMUB,-38.72352,-47.0041,-22.65978,-8.28058
WOHSOB,-30.67702,-38.97432,-18.33348,-8.2973
KAVREG,-33.6072,-41.90868,-17.44314,-8.30148
HUTTIA,-42.22218,-50.54038,-24.35268,-8.3182
GASTIG,-35.51746,-43.8482,-19.21546,-8.33074
ZOZZAR,-41.14374,-49.47866,-20.40258,-8.33492
PIZRIB,-36.14028,-44.52536,-19.51224,-8.38926
WEMCAU,-41.6328,-50.04714,-21.35144,-8.41434
BUKYAJ,-33.42746,-41.8418,-19.7923,-8.41434
ZOYKAB,-39.3338,-47.7565,-21.65658,-8.4227
TEDSIG,-38.4351,-46.87034,-22.25432,-8.43106
HEDCEA,-38.43928,-46.87452,-21.60224,-8.43524
FOJVUX,-39.20004,-47.64782,-23.62118,-8.4436
OHAQEU,-42.13858,-50.58636,-26.58898,-8.44778
VAGTAA,-58.11872,-66.57486,-30.36352,-8.45614
FEJKEM,-33.82874,-42.29742,-19.21964,-8.46868
DIBPIP,-49.32818,-57.8094,-23.70896,-8.48122
PAKFEP,-31.58826,-40.07784,-15.34896,-8.49376
INARUM,-42.98294,-51.49342,-20.65756,-8.51466
CEGFAW,-36.12774,-44.6424,-18.94794,-8.51466
RUXKUS,-40.7968,-49.324,-22.18744,-8.52302
FOXHUX,-35.22068,-43.74788,-21.18006,-8.5272
HURGAE,-35.72228,-44.27038,-21.62732,-8.5481
MIKJAR,-44.57552,-53.13198,-23.04434,-8.55646
LEVYOC,-72.47284,-81.03348,-40.18652,-8.56064
VOMMAN,-32.4786,-41.06432,-24.13114,-8.58572
XUFPIZ,-45.57872,-54.18116,-24.83756,-8.60244
QUQHEQ,-43.67264,-52.2918,-23.10286,-8.61916
KAYBUJ,-39.53862,-48.16196,-20.03474,-8.62334
TUMDAI,-48.0491,-56.68916,-26.48448,-8.64006
QUTTII01,-35.14126,-43.83566,-18.06596,-8.6944
JUJTAL,-49.41178,-58.11872,-26.0205,-8.70694
PURQEZ,-43.99032,-52.70144,-22.66396,-8.71112
QOVWOO,-24.89608,-33.61556,-1.47554,-8.71948
VECWUX,-35.73064,-44.46266,-23.53758,-8.73202
DUWFOS,-35.12872,-43.89,-19.1444,-8.76128
BOZFIH,-38.30552,-47.0668,-20.76624,-8.76128
GUFREF,-36.20298,-44.96844,-21.6524,-8.76546
BUSQIQ,-60.04988,-68.81534,-35.85186,-8.76964
XUMSOP,-29.52334,-38.29716,-17.56436,-8.778
AFOQUI,-47.55586,-56.33804,-29.65292,-8.78218
AQETUM,-32.67924,-41.45724,-16.38978,-8.78218
WIPZEC,-40.90966,-49.72946,-22.08294,-8.8198
UJAQAY,-42.7405,-51.56448,-23.62536,-8.82398
JORBAV,-32.93422,-41.76656,-16.62386,-8.83234
MONQIR,-36.69622,-45.54528,-23.89706,-8.84906
EFOTID,-27.35392,-36.21552,-13.01652,-8.86578
LIVZOH,-43.38422,-52.25418,-22.66396,-8.86996
HEGNEN,-39.0412,-47.93624,-24.92116,-8.89504
GOYXEZ,-40.05276,-48.97706,-26.40924,-8.9243
PEXBIF,-53.83004,-62.7627,-24.03918,-8.93266
UKAKUO,-38.69844,-47.6311,-21.24694,-8.93266
ERUFUS,-32.9384,-41.92958,-19.34922,-8.99118
CISMIC,-37.85408,-46.85362,-15.76696,-8.99954
CIVTEH,-35.72228,-44.726,-18.34184,-9.00372
ECEZAO,-39.36724,-48.37932,-24.42374,-9.01208
ZARZAV,-39.38814,-48.40022,-21.49774,-9.01208
DEZKEA,-50.2018,-59.2515,-24.58676,-9.05388
ARUCOH01,-44.83468,-53.89692,-23.34948,-9.06224
IHECAB,-45.3948,-54.47376,-14.73868,-9.07896
EQUBOI,-36.66278,-45.74592,-19.59584,-9.08314
OPIPUZ,-33.85382,-42.9704,-23.09868,-9.11658
BOVHEB,-37.36084,-46.48578,-19.61256,-9.12912
MONWET,-28.34876,-37.48624,-18.82672,-9.13748
PUPNAQ,-48.35424,-57.4959,-26.22532,-9.14166
REYPIW,-37.75376,-46.89542,-24.34432,-9.14166
ESARAT,-41.90032,-51.07124,-20.691,-9.17092
RUGYOJ,-45.88804,-55.06314,-22.93984,-9.17092
XUZWAS,-30.41368,-39.60968,-16.77016,-9.19182
ESUMOU,-42.73632,-51.94486,-18.4547,-9.20854
WILJAE,-45.4784,-54.6953,-18.64698,-9.2169
XOPMIA,-34.67728,-43.91926,-20.4611,-9.24616
BIMDEF,-35.22904,-44.48356,-21.03794,-9.25452
OJIWAG,-39.47174,-48.7388,-20.83312,-9.26706
CUWZEB,-42.2389,-51.51014,-25.99124,-9.27124
TUGFAE,-37.72032,-46.99574,-17.45986,-9.27542
LUNBAX,-19.19038,-28.51178,-9.6767,-9.32558
KUXLUL,-33.33132,-42.6569,-14.90588,-9.32558
AYOYEU,-36.17372,-45.50766,-19.62092,-9.33394
BAKGAX,-38.9785,-48.3208,-20.10998,-9.3423
CAXPEY,-26.94428,-36.29076,-16.20168,-9.34648
XORHET,-38.22192,-47.58094,-20.00966,-9.35902
XOQXOR,-37.46116,-46.84108,-23.04434,-9.37992
VAHJEW,-38.80712,-48.1954,-20.38168,-9.39246
OQEZUH,-41.74148,-51.15066,-24.33596,-9.40918
FOJPEB,-40.14472,-49.5539,-21.94918,-9.40918
UJEFOE01,-60.3383,-69.76002,-46.7533,-9.4259
XEHTUB,-48.16614,-57.59622,-22.97328,-9.43008
JOGHIY,-33.6699,-43.10834,-20.09744,-9.44262
BEXPEB,-28.30278,-37.75376,-17.95728,-9.4468
RONZUP,-30.62268,-40.07366,-23.2826,-9.45098
WODROY,-34.05446,-43.5347,-21.36816,-9.48024
PIRYOF,-39.95662,-49.43686,-24.69544,-9.48024
CEGDUO,-37.42772,-46.93722,-18.69714,-9.50532
UPOSOI,-39.17078,-48.69282,-19.95114,-9.51786
POJTUE,-32.25706,-41.79164,-10.27026,-9.53458
LOMMEH,-35.63868,-45.20252,-19.8132,-9.56384
LEWZET,-26.97354,-36.5541,-19.57494,-9.58056
XUYDIF,-36.79236,-46.3771,-21.28456,-9.58474
BOJCIN,-40.56272,-50.15164,-24.08934,-9.58892
EBEMII,-34.4641,-44.07392,-21.68166,-9.60982
UHIFEY,-35.1538,-44.76362,-18.00326,-9.60982
WIDZUG,-38.97014,-48.5925,-23.50414,-9.62236
ADAXEK,-31.40434,-41.03924,-19.67526,-9.63908
HOBGOV,-34.8612,-44.50446,-23.42472,-9.64326
PEFSEA,-35.64704,-45.30702,-22.20834,-9.65998
WEBREC,-40.83442,-50.5153,-21.98262,-9.6767
VIPZAX,-42.93278,-52.60948,-22.60126,-9.68088
GUXQAR,-63.2225,-72.93682,-42.4479,-9.71432
BOMCOX,-33.8998,-43.6183,-20.12252,-9.7185
GIFKAH,-27.7761,-37.50714,-17.75246,-9.73104
EFOTEZ,-25.7906,-35.53836,-11.67892,-9.74776
NIRFIE,-30.58924,-40.337,-17.20906,-9.74776
IXURID,-37.15602,-46.90378,-20.5238,-9.74776
RAWZIA,-41.34856,-51.1214,-21.13408,-9.77284
DAPXEZ,-48.33334,-58.14798,-25.28064,-9.81464
EZABEN,-38.80712,-48.65102,-18.40872,-9.8439
ZUDPIZ,-37.07242,-46.91632,-21.49356,-9.84808
QAQKEB,-68.78608,-78.63416,-31.52974,-9.84808
ETIYAJ,-36.1361,-46.0009,-19.80066,-9.86062
QUTTII,-35.79334,-45.65814,-17.97818,-9.86898
KUTHOY,-41.90032,-51.79856,-22.91894,-9.89824
TODVOZ,-49.30728,-59.21388,-21.47684,-9.9066
PUQHEP,-35.76408,-45.6874,-25.18032,-9.92332
YARSAN,-39.47592,-49.40342,-25.32662,-9.9275
RAXYOF,-29.69472,-39.65148,-16.97498,-9.95676
WANNIL,-32.95094,-42.91606,-19.63346,-9.96094
IYASOS,-32.46606,-42.43536,-18.16628,-9.9693
KAVLID,-41.97138,-51.94904,-26.76454,-9.97766
VOBQEK,-60.45534,-70.43718,-54.5281,-9.98184
SOBTUY,-33.88726,-43.88164,-19.23218,-9.99438
MOHSEJ,-38.94506,-48.96034,-20.05982,-10.01528
YEGHEZ,-27.28286,-37.33158,-18.42962,-10.04454
UWELIS,-34.35542,-44.42922,-18.53412,-10.0738
YAGJOI,-37.95858,-48.05328,-21.64822,-10.0947
GAYFUJ,-30.8693,-40.97236,-23.22826,-10.10306
DEFKUU,-35.33354,-45.44496,-17.22578,-10.11142
RUVMAX,-42.10514,-52.24582,-22.07458,-10.14486
ZIDVAL,-38.62738,-48.79732,-22.58036,-10.17412
KOPXOE,-40.9013,-51.07124,-22.03696,-10.17412
CUQROX,-33.9416,-44.13244,-19.89262,-10.19084
DOGZIJ,-35.68466,-45.8964,-19.3743,-10.21592
REYBAA,-41.42798,-51.65644,-20.51544,-10.22428
SICDAL,-22.14982,-32.38246,-4.46842,-10.23264
AJAKON,-44.77616,-55.03388,-22.06204,-10.25772
ISUCUV,-42.65272,-52.91044,-18.40036,-10.25772
NEFTOJ,-34.39304,-44.65912,-18.18718,-10.26608
GUXPOF,-38.71516,-48.99378,-24.4739,-10.27862
BEPVOJ01,-36.09012,-46.3771,-19.11932,-10.28698
EBATUY,-40.01932,-50.33556,-24.39866,-10.31624
HIJSOK,-40.15726,-50.4944,-20.41512,-10.33714
OGAGIN,-33.43164,-43.78132,-18.35856,-10.34968
JAKPET,-47.59766,-57.9766,-24.62438,-10.37894
EKIGOW,-45.16072,-55.53966,-24.78322,-10.37894
TUNKAQ,-38.79458,-49.19024,-21.91574,-10.39566
AJAMEF,-37.56566,-47.9655,-23.75076,-10.39566
NUXMAU,-46.28096,-56.68498,-22.6556,-10.40402
OTAXOX,-33.12232,-43.5347,-17.7023,-10.4082
UGEPEB,-42.5733,-53.0024,-21.11318,-10.4291
KIYMAI,-55.24288,-65.69288,-27.78864,-10.45
EVUNOY,-33.88308,-44.37906,-18.43798,-10.49598
TOJVIZ,-38.65664,-49.1568,-19.1653,-10.50016
KUSQUM,-40.7759,-51.2886,-28.0269,-10.5127
EZUCIM,-36.12356,-46.66134,-18.59682,-10.54196
QEBGAH,-33.74096,-44.29964,-20.46946,-10.55868
CADZIT,-34.23838,-44.80542,-20.16014,-10.56704
POMXIA,-34.5686,-45.13982,-19.96368,-10.5754
IHUTIQ,-35.33354,-45.91312,-20.19776,-10.57958
EBEGID,-58.66212,-69.2417,-29.64874,-10.57958
OTUXUX,-40.51674,-51.12976,-24.75396,-10.61302
PELGOE,-39.17078,-49.78798,-25.87002,-10.6172
NAXKOO02,-42.70706,-53.32426,-21.74018,-10.6172
ANAWIX,-37.8081,-48.43784,-17.92384,-10.63392
TUBCEA,-42.61928,-53.26574,-25.85748,-10.64646
BEZDUH,-35.39206,-46.03852,-14.54222,-10.64646
BUWGAC,-24.06008,-34.72744,-14.15348,-10.67154
GUSNEN01,-13.91522,-24.59512,0.4389,-10.67572
COMZIP,-39.93572,-50.62816,-23.5125,-10.69244
ESASAU,-36.00652,-46.70732,-19.84246,-10.7008
AHINIP,-37.4319,-48.14106,-20.84984,-10.70498
ZASTUK,-38.55214,-49.27802,-21.33472,-10.7217
QEYWUN,-40.57526,-51.29696,-11.1815,-10.7217
ROCZAM,-34.7358,-45.4575,-16.5737,-10.72588
IGUCEU,-36.77564,-47.5266,-18.37528,-10.75096
QUQGAL,-44.15752,-54.92938,-20.19358,-10.77604
UZEKEQ,-69.47578,-80.256,-50.95002,-10.78022
FUTJOV,-30.6812,-41.46978,-20.51962,-10.78858
VOTKEW,-37.52386,-48.31662,-19.80066,-10.79276
SUWBET,-29.23074,-40.03186,-18.89778,-10.80112
PIZQOG,-36.46632,-47.26744,-19.54568,-10.8053
EDEPAG,-59.5232,-70.33268,-35.28338,-10.8053
QOQDAD,-40.81352,-51.6439,-28.09378,-10.83456
CUWWUO,-39.40068,-50.23524,-21.00032,-10.83456
GOYXID,-41.49068,-52.3336,-30.45548,-10.84292
KIYQIU,-39.99842,-50.84134,-19.02736,-10.84292
QUSSAA,-48.19958,-59.05504,-23.7215,-10.85128
NOBVOR,-37.13512,-48.00312,-23.9723,-10.868
RUPZIM,-36.28658,-47.16712,-21.31382,-10.88054
EHOJES,-41.2775,-52.16222,-22.74338,-10.8889
SODXUG,-48.09926,-59.0007,-24.87518,-10.90144
DAMFAB,-55.89914,-66.80476,-21.92828,-10.90562
MOGXUB,-38.874,-49.77962,-19.6878,-10.90562
WAHGIY,-32.85062,-43.79386,-19.13186,-10.94324
BASTEW,-41.83762,-52.79758,-22.09548,-10.95996
SROXAL01,-41.90032,-52.87282,-23.99738,-10.97668
GOYYAW,-40.55436,-51.53522,-29.469,-10.98086
ROFGUQ,-38.28462,-49.26966,-20.24792,-10.98504
COXXIX,-41.6955,-52.71398,-19.31996,-11.0143
IGAHED02,-37.13512,-48.15778,-18.6846,-11.02684
KIYQEQ,-41.21062,-52.24582,-18.99392,-11.0352
EWUCOP,-33.59884,-44.65076,-23.88452,-11.05192
YARKEJ,-38.6859,-49.75454,-21.16334,-11.06864
GINPAW,-39.04956,-50.14328,-22.60544,-11.08954
ITIXAM,-44.26202,-55.35574,-23.68806,-11.09372
QOVWOP,-54.21042,-65.3125,-24.09352,-11.10208
WUTKIG,-46.58192,-57.71744,-23.9514,-11.13552
OPIPOT,-34.44738,-45.59126,-22.6556,-11.14388
KOLWEO,-38.07562,-49.22368,-22.86878,-11.14806
HOWQEQ,-47.53914,-58.70392,-20.82476,-11.16478
VAGTAA01,-61.11578,-72.28056,-22.68486,-11.16478
FIFPAM,-37.02644,-48.19958,-20.13924,-11.17314
AFOYEB,-27.51694,-38.69844,-15.5705,-11.1815
KALFUA,-38.66918,-49.87994,-19.4997,-11.21076
YUCZOM,-36.39108,-47.60602,-18.70968,-11.21494
LUNBEB,-20.1476,-31.38344,-10.14904,-11.23166
HIWXER01,-35.07438,-46.31022,-11.05192,-11.23584
FAHQIR,-39.32962,-50.61562,-21.53954,-11.286
VULKOD,-34.2551,-45.54946,-19.3743,-11.29436
CETJAN,-34.12134,-45.4157,-18.26242,-11.29436
ANIDIL,-34.5686,-45.86714,-20.91672,-11.29854
XAPGUQ,-22.43406,-33.74514,-13.72712,-11.31108
ZIJVOF02,-38.08398,-49.39924,-19.9177,-11.31108
NIKHOF,-37.82482,-49.14008,-21.4016,-11.31526
QOZPOM,-45.39062,-56.71006,-20.13088,-11.31944
GIRYOX,-35.6136,-46.9623,-24.33178,-11.35288
RUSSAA,-38.17176,-49.52464,-24.18966,-11.35288
ASOVEL,-53.2114,-64.58936,-27.62144,-11.37796
NERVIP01,-36.58754,-47.97804,-21.78616,-11.3905
AWARIZ,-31.06994,-42.50642,-16.55698,-11.43648
HADPOU,-31.56318,-42.99966,-20.51962,-11.43648
IXURAV,-43.35078,-54.80398,-26.46776,-11.4532
LOLQIM,-87.57936,-99.066,-104.50836,-11.48664
GAXWEJ,-46.63626,-58.12708,-26.75618,-11.49082
FUZCEJ,-29.98732,-41.48232,-12.3728,-11.495
GIHBII,-85.93244,-97.4358,-62.56624,-11.50336
WOHPIU,-39.8772,-51.40982,-22.4675,-11.53262
RUYFUO,-29.31434,-40.86368,-14.1493,-11.54934
WIWHUG,-33.022,-44.63404,-21.79452,-11.61204
CACNOM,-39.78106,-51.40982,-20.51544,-11.62876
HIYYEU,-35.91874,-47.55168,-19.40774,-11.63294
XOVVIO,-57.6422,-69.27514,-30.24648,-11.63294
LEDCAA,-51.34712,-62.98842,-25.9996,-11.6413
SAMLAV,-35.37534,-47.02082,-19.2698,-11.64548
FEVDIV,-35.58852,-47.25072,-25.33498,-11.6622
LIKFOB,-44.0363,-55.73194,-20.30226,-11.69564
GOWHOR,-48.04074,-59.73638,-25.1427,-11.69982
GOYXUP,-41.0267,-52.72652,-31.47122,-11.69982
QISVEU,-39.15406,-50.87478,-22.36718,-11.7249
TEWFUY01,-39.74762,-51.48924,-21.80706,-11.73744
YIKLUZ,-39.91064,-51.66898,-17.4515,-11.75834
SIWSUO,-36.54992,-48.31662,-21.60642,-11.7667
KINLAW,-35.04512,-46.82018,-15.18594,-11.77088
IJODES,-42.89516,-54.67858,-28.21918,-11.78342
JEMBUZ,-37.00972,-48.80568,-19.3743,-11.79596
SOWCOY,-33.61974,-45.42824,-18.19554,-11.8085
ERUVEU,-32.11076,-43.93598,-16.34798,-11.82522
UKAKEY,-36.16954,-48.00312,-25.6861,-11.8294
YUKKAR,-27.55874,-39.38814,-18.56338,-11.83358
NADKIO,-29.75324,-41.58682,-11.52844,-11.83358
WIDTAF,-38.3306,-50.16836,-21.09228,-11.84194
ULUPUM01,-44.14916,-56.012,-20.09326,-11.86284
TACYAX,-28.51178,-40.38716,-14.62164,-11.87538
VURYIR,-30.10436,-41.99228,-16.7827,-11.88792
MAHTAR,-52.19566,-64.09612,-45.42406,-11.90046
VIPXUO,-42.84918,-54.758,-26.83142,-11.90464
VIYSUT,-38.21774,-50.12656,-21.945,-11.90882
VAGJET,-33.94996,-45.8755,-18.68878,-11.92554
ENCDBZ01,-27.87224,-39.8145,-15.47854,-11.94226
CABQEB,-33.03454,-44.99352,-22.67232,-11.95898
POJTOY01,-32.24034,-44.21604,-2.27392,-11.9757
IVEQEG,-38.21356,-50.2018,-22.48004,-11.98824
YOZRUC,-36.29494,-48.30408,-21.31382,-12.00914
YASNAJ,-37.6409,-49.65422,-22.81026,-12.00914
PEBNEP,-35.63032,-47.64364,-21.77362,-12.01332
QOTWON,-32.75866,-44.80542,-22.51348,-12.04676
XODNUB,-31.59244,-43.64338,-18.92704,-12.05094
EBIPIQ,-54.95864,-67.04302,-26.59734,-12.08438
XOPVUU,-50.68668,-62.77524,-27.15746,-12.08856
MOFBIU,-37.9962,-50.11402,-20.82058,-12.11782
WOFWET,-25.72372,-37.85408,-13.50976,-12.13454
VAHJIA,-42.98712,-55.1551,-22.07876,-12.16798
FIFMIS01,-40.1071,-52.27926,-24.1813,-12.17216
DINNIZ,-36.84252,-49.02304,-20.82058,-12.17634
BASSOF,-43.69354,-55.87406,-22.48004,-12.18052
GETXAG,-33.24772,-45.44078,-17.91966,-12.19306
AMUPOP,-41.42798,-53.63776,-25.21376,-12.20978
CIFJAE,-36.88432,-49.12336,-19.5415,-12.23904
UVEVAT,-32.16092,-44.40414,-17.0335,-12.24322
VIXCUB,-34.76506,-47.02082,-17.61034,-12.25994
ROJCIE02,-31.79726,-44.06138,-18.75148,-12.26412
NERTAH,-40.98908,-53.28246,-22.781,-12.29756
QISVAQ,-39.39232,-51.69406,-21.34726,-12.30174
SOCLAZ,-39.292,-51.60628,-22.8437,-12.31428
WODREO,-42.81574,-55.16346,-24.95042,-12.34772
DIYKED,-24.67454,-37.02644,-14.54222,-12.3519
HUHJAW,-38.6859,-51.0378,-17.83188,-12.3519
EMIVAY,-43.8273,-56.18756,-23.78838,-12.35608
SOWCOY01,-31.98536,-44.35816,-22.90222,-12.3728
MOSDUT,-37.82064,-50.19762,-22.50094,-12.37698
TISJOW,-34.34288,-46.71986,-19.7923,-12.37698
LIFWEE,-38.91998,-51.31786,-20.4402,-12.3937
ZOXNEH,-61.76786,-74.19082,-27.27032,-12.41878
GISMIG,-54.35254,-66.7964,-23.95558,-12.44386
LUSHOX01,-38.09652,-50.54038,-19.47462,-12.44804
PIZSAU,-34.55606,-47.02918,-18.62608,-12.47312
JIQVAH,-50.01788,-62.49518,-29.73234,-12.4773
NABNUA,-47.9237,-60.40936,-24.99222,-12.48566
AVIMUO,-43.44274,-55.94094,-22.06204,-12.4982
RUDQUD,-25.3935,-37.90842,-13.01234,-12.51492
XAKQIL,-22.10384,-34.63966,-28.97158,-12.53582
WALKAY,-36.93866,-49.47866,-23.05688,-12.53582
HICVOG,-35.47984,-48.01984,-21.10064,-12.54
MUKRIU,-42.98294,-55.53966,-21.7569,-12.55672
ZUPBET,-40.75082,-53.3159,-27.10312,-12.56508
OPENIH,-37.26052,-49.8256,-21.2762,-12.56926
CUXJEM,-36.43706,-49.0314,-24.33596,-12.59434
IWELOM,-50.34392,-62.95498,-30.96962,-12.61106
QULLEP,-33.95832,-46.5861,-20.40258,-12.62778
GEVYEN,-39.63894,-52.29598,-24.18966,-12.65704
NIRDOI,-35.12872,-47.81502,-18.29586,-12.6863
LIHSEB,-12.53164,-25.23048,8.78218,-12.69884
SALRON,-64.85688,-77.5808,-48.28318,-12.72392
ORULEU,-38.6859,-51.40564,-20.26046,-12.72392
DAMFEF,-63.46494,-76.2014,-26.27548,-12.73646
LOCZUA,-39.39232,-52.13714,-21.82796,-12.74064
XIHSEN01,-45.5829,-58.32354,-18.73476,-12.74482
TAVCIF,-44.53372,-57.2869,-25.73208,-12.75318
TUMRIE,-38.64828,-51.40564,-20.96688,-12.75318
HUXHEP01,-53.22394,-65.99802,-26.90248,-12.7699
VILXOE,-38.19266,-50.97928,-19.3325,-12.78662
DOKHOB,-35.4882,-48.279,-18.47978,-12.7908
UVEXAV,-53.99306,-66.79222,-28.3613,-12.79916
YARBAW,-42.218,-55.10494,-19.01482,-12.88694
XEKDUO,-8.12174,-21.02958,9.6558,-12.91202
NIJSAC,-44.4543,-57.37886,-22.09548,-12.92874
POKTUG,-38.11742,-51.05034,-19.11096,-12.92874
VISTOG,-35.70138,-48.64684,-16.60714,-12.94546
WEMHED,-38.2679,-51.25934,-28.006,-12.99144
RIYDEJ,-47.03336,-60.03316,-18.66788,-12.9998
MABKIK01,-30.40114,-43.40512,-17.8068,-13.00398
RILVOZ,-35.0493,-48.06164,-19.85918,-13.01234
SEJHAR,-34.39722,-47.41374,-17.12546,-13.01652
VONBIK,-42.33086,-55.36828,-22.50512,-13.03742
RUDQOX,-38.84892,-51.89052,-15.15668,-13.03742
QALTIJ,-32.8757,-45.94238,-19.65854,-13.06668
GOYYIE,-42.06752,-55.14674,-27.40826,-13.07922
UXEQOE,-45.85042,-58.93382,-24.23564,-13.0834
HIXDOH,-27.2745,-40.3579,-10.8889,-13.0834
TUMRAW,-46.2308,-59.31838,-24.52406,-13.0834
UJOWEW,-28.40728,-41.49068,-16.96244,-13.0834
ISISUZ,-38.74442,-51.832,-24.69126,-13.08758
DARVAW,-55.43516,-68.5311,-43.3466,-13.09594
GACPUX,-38.78622,-51.9156,-18.57174,-13.12938
PIZRAT,-34.64384,-47.78994,-18.56756,-13.1461
PURSOK,-59.76146,-72.92428,-58.11872,-13.16282
VODPOU,-44.1617,-57.32452,-21.28456,-13.167
FIJFIO,-35.45058,-48.66774,-21.40578,-13.21716
IYIGEC,-38.57304,-51.79856,-19.68362,-13.22552
PARFOF,-24.73306,-37.98366,0.71478,-13.25478
GUKXIU,-42.0508,-55.3223,-28.22754,-13.2715
TUMREA,-46.07196,-59.36854,-24.2649,-13.29658
OFEQOG,-38.00874,-51.3304,-23.10286,-13.32166
BEVQID,-116.44226,-129.7681,-66.0858,-13.32584
TUMQID,-42.65272,-55.97856,-23.12376,-13.33002
OHATAT,-33.46926,-46.82018,-23.35784,-13.34674
CUGLTM01,-44.38742,-57.75924,-18.06596,-13.36764
DEHLIN,-38.33896,-51.71078,-19.85082,-13.37182
OHAGAH,-32.04388,-45.41988,-17.54346,-13.376
FURSAN,-31.71366,-45.09384,-22.39226,-13.38018
OLUHAG,-34.0043,-47.41792,-22.56782,-13.41362
LULHUW,-35.64286,-49.06902,-22.81444,-13.43034
KAPHUH,-42.5942,-56.02454,-18.65952,-13.43034
TETZID,-46.1054,-59.53992,-24.38194,-13.43034
ECEZAO01,-41.58264,-55.01716,-23.96812,-13.43452
DUBWON,-44.05302,-57.49172,-23.92214,-13.4387
HEKTAU,-36.37436,-49.85068,-21.59388,-13.47632
XADDOX,-37.38592,-50.8706,-18.27078,-13.48468
LELMIA01,-37.62,-51.13394,-19.74214,-13.51394
CEHWIX,-39.77688,-53.3368,-21.17588,-13.55992
GOYYEA,-42.25562,-55.84062,-28.48252,-13.585
AQODOA,-43.25464,-56.8689,-23.28678,-13.61426
IQEKUM,-45.62888,-59.2515,-22.41734,-13.62262
NUXWAG,-42.34758,-55.97438,-19.05662,-13.6268
GITWIQ,-37.0975,-50.75356,-19.85082,-13.65606
