MOF ref,CO2 BE kJ/mol,H2O BE kJ/mol,N2 BE kJ/mol,BE(H2O)-BE(CO2)
LULVOF,-44.93082,-40.92638,-24.73724,4.00444
GIRHEW,-42.73632,-38.74442,-28.03944,3.98772
QOJTUE,-34.95316,-30.99052,-20.4402,3.96264
AVIMIC,-41.44052,-37.47788,-23.61282,3.95846
BEYSEF,-34.05446,-30.10854,-19.18202,3.9501
NAXKOO01,-45.32792,-41.44052,-22.56782,3.8874
TILVUF,-17.14636,-13.2715,-10.47926,3.87486
JOKXOW10,-23.57938,-19.71706,-13.7731,3.8665
ECIWUJ04,-35.24158,-31.46286,-21.51864,3.7829
WALCET,-43.08326,-39.35052,-21.57298,3.73274
EQOCES01,-33.34386,-29.62366,-18.04924,3.7202
QUQYUY,-35.03258,-31.31238,-18.8309,3.7202
NIYZOM,-32.34902,-28.6539,-18.75148,3.69512
ZALFAW,-33.42746,-29.75324,-17.12964,3.67422
POVXII,-31.3709,-27.70086,-19.69198,3.67004
TONBOO,-40.964,-37.35248,-23.67134,3.61152
UMAQAC,-36.2406,-32.6667,-22.49676,3.5739
DOJXIL,-40.34954,-36.80072,-22.03278,3.54882
WUZDOL,-28.97576,-25.44366,-16.56534,3.5321
BUSQUC,-36.03578,-32.50786,-20.04728,3.5321
PUDTOY,-35.01168,-31.5172,-19.40774,3.49866
VEJYUF,-37.75376,-34.276,-20.41512,3.47358
AVAGUB,-35.31682,-31.86414,-19.47462,3.45268
EBEMEF,-23.28678,-19.86336,-12.51074,3.42342
WOMCUY,-44.21186,-40.80098,-25.90346,3.41506
PEGBEK01,-33.31878,-29.91208,-19.62928,3.4067
QIDDAI,-44.44176,-41.03924,-20.33988,3.40252
BEDHOJ,-36.83416,-33.44418,-23.05688,3.38998
QADBII,-34.5268,-31.13682,-20.18522,3.38998
LIJXEI,-41.74566,-38.38076,-23.61282,3.3649
SUJQOE,-39.11644,-35.76408,-22.6765,3.34818
LUTSEA,-30.27156,-26.94846,-15.72098,3.3231
HOQMUX,-51.82782,-48.52144,-31.88922,3.30638
PITRIU,-36.15282,-32.8757,-21.26366,3.27712
NOFQEG,-28.49506,-25.21794,-19.04826,3.27712
DAJHUS,-32.23198,-29.01756,-19.94696,3.21024
ROJDAX,-34.51008,-31.36672,-19.39938,3.14336
HODWUS,-36.02742,-32.91332,-25.37678,3.1141
GAYGAQ,-35.88948,-32.77956,-19.32832,3.1141
RALZEL,-40.70902,-37.65344,-23.22826,3.05558
UKALOJ,-39.15824,-36.10266,-22.93566,3.05558
HUWZIK,-47.94878,-44.89738,-12.74064,3.0514
OWUJIB,-44.33726,-41.29004,-24.35268,3.0514
GEDRIS,-39.76434,-36.72966,-25.52308,3.03468
ABUXUT,-42.69034,-39.6682,-18.7055,3.02214
VISTUM,-34.33034,-31.31238,-17.84024,3.01796
ISACIP,-41.6537,-38.63574,-27.44588,3.01378
QOPPOC,-40.8177,-37.81228,-22.30866,3.00542
GOFDAH,-33.33968,-30.33426,-20.15596,3.00542
OKANOF,-28.81274,-25.81986,-13.23388,2.99288
NIBBOR,-31.17444,-28.18156,-24.11024,2.99288
ETIPII,-35.42132,-32.44516,-20.74116,2.97198
RUYGEZ,-27.77192,-24.81666,-14.7554,2.95526
ZAXWAY,-44.55462,-41.60354,-28.38638,2.95108
MEKDUC,-30.4722,-27.54202,-18.21644,2.93018
EMEHUB,-42.23472,-39.30454,-23.75076,2.93018
UKALAV,-37.40682,-34.48918,-21.47266,2.91764
XUNTIL,-37.01808,-34.12552,-25.10926,2.89256
CAYBAH01,-34.276,-31.41688,-20.82058,2.85912
CUQRUD,-33.45254,-30.62268,-20.7537,2.82986
DUKYOZ,-29.59022,-26.84396,-15.81294,2.74208
XASFAY,-36.42452,-33.70334,-20.34824,2.72118
KUXTUT,-34.0879,-31.37508,-16.66566,2.70864
YEZKUL,-38.33896,-35.70138,-21.13408,2.63758
IZEHAX,-41.9672,-39.3756,-20.82058,2.5916
LODBIR,-38.28044,-35.70138,-21.02958,2.57906
RURPEA,-34.65638,-32.08568,-18.31258,2.5707
LUSHIR,-42.83246,-40.26594,-25.77388,2.56234
FUBTUT,-39.71418,-37.1602,-28.06034,2.5498
WENDIE,-45.6247,-43.0749,-29.3645,2.5498
KASPOL,-44.94336,-42.40192,-25.18868,2.54144
OSIXIY,-35.64286,-33.1056,-20.45274,2.53308
WECJAR,-35.2792,-32.74612,-19.3116,2.5289
UHOGEF,-32.95094,-30.42622,-20.34406,2.52472
ETIXAI,-37.97112,-35.45058,-22.4257,2.51636
IJASAO,-38.54796,-36.03578,-22.3839,2.51636
SOVHAM,-31.15354,-28.64554,-17.43896,2.508
ZURQOS,-36.24478,-33.80366,-19.49134,2.44112
YOKKIU,-35.4255,-32.99692,-20.84566,2.42858
WOSGUI,-34.24674,-31.82652,-21.0045,2.42022
KOMHIE,-34.20912,-31.83488,-20.42348,2.37424
ADAXIO,-42.23054,-39.8772,-25.9578,2.35334
DOLWAE,-31.45868,-29.10952,-18.17882,2.34916
TARWAK,-26.32146,-23.98066,-13.71876,2.3408
JOBGIS,-35.87276,-33.56122,-21.48938,2.30736
ILIGEP,-57.53352,-55.2387,-52.32524,2.29482
ECIWUJ01,-37.48206,-35.19978,-21.318,2.28228
UFUMUD,-39.68492,-37.40264,-25.56906,2.28228
KINHAS,-36.50812,-34.24256,-19.56658,2.26556
OZOPEA,-45.35718,-43.12088,-24.94624,2.2363
TEBYIK,-32.51204,-30.30082,-20.28554,2.21122
AVEHAM,-35.17052,-33.01364,-20.86656,2.1527
REHVEH,-38.04218,-35.9062,-24.93788,2.13598
YUSGOJ,-51.4349,-49.36162,-22.5511,2.07328
ZESTIC,-37.29396,-35.27502,-20.2521,2.01476
EKOMEY,-37.8081,-35.83932,-22.35882,1.9646
PILWIS,-45.58708,-43.63502,-22.74338,1.95206
UKALID,-39.44248,-37.49878,-22.91058,1.9437
XUNRUV,-38.9158,-37.0975,-22.28776,1.8183
TIRLIQ,-40.0653,-38.26372,-23.89706,1.80158
EREFEN01,-36.45796,-34.65638,-20.46946,1.80158
FOJKIA,-41.43634,-39.65148,-21.99516,1.78486
MIMVEJ,-37.0975,-35.32518,-23.82182,1.7765
WOHSIV,-31.04068,-29.26836,-19.03572,1.76814
HURGUX01,-36.86342,-35.09946,-23.74658,1.76396
OPOYUO,-33.3982,-31.69276,-19.47462,1.70126
OPENON,-36.69622,-35.00332,-23.22826,1.6929
DEYVUA,-30.65612,-28.98412,-17.83606,1.672
HISFUM,-37.0348,-35.37534,-23.60446,1.65946
HADMIL,-39.6682,-38.038,-22.32956,1.63438
OVICUS,-30.51818,-28.90888,-18.87688,1.6093
RUYGAV,-29.89536,-28.29024,-16.6991,1.60512
UNERUB,-45.80026,-44.2453,-25.66102,1.55914
VUJWUT,-36.34928,-34.79432,-21.4643,1.55496
IPEBEM,-34.02938,-32.49114,-19.3743,1.54242
ZIWMEZ,-35.12872,-33.59048,-20.59904,1.53824
GEWXAJ,-38.19266,-36.65442,-22.16654,1.53824
OPIWEQ,-38.62738,-37.08914,-23.44144,1.53824
QOHTOX,-38.99522,-37.52386,-22.4048,1.47554
