,filename,LCD,PLD,LFPD,cm3_g,ASA_m2_cm3,ASA_m2_g,NASA_m2_cm3,NASA_m2_g,AV_VF,AV_cm3_g,NAV_cm3_g,All_Metals,Has_OMS,Open_Metal_Sites,Extension,FSR_overlap,from_CSD,public,DISORDER,CSD_overlap_inCoRE,CSD_of_WoS_inCoRE,CSD_overlap_inCCDC,date_CSD,DOI_public,Note,Matched_CSD_of_CoRE,Possible_List_CSD_of_CoRE,,,,,,,,,,,,,,
232,AMAFOK_clean,6.60314,5.66314,6.60314,1.49249,870.16,583.026,0,0,0.4392,0.294274,0,Cu,Yes,Cu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
233,AMAFUQ_clean,6.75078,5.80845,6.73622,1.48103,921.285,622.056,0,0,0.4398,0.296955,0,Cu,Yes,Cu,clean,Y,Y,N,,N,,,,,,,,,,,,,,,,,,,,,
234,AMAGAX_clean,6.93247,6.0951,6.93247,1.45916,960.382,658.174,0,0,0.4598,0.315113,0,Cu,Yes,Cu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
238,AMIKOX_clean,3.46941,2.69518,3.46727,1.4673,0,0,15.7447,10.7304,0.4072,0.277517,0,Cd,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
239,AMILOY_clean,11.03089,9.17864,11.01877,1.00746,1259.05,1249.73,0,0,0.6048,0.60032,0,Zn,Yes,Zn,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
240,AMILUE_clean,11.39418,11.07263,11.39418,0.982365,1253.76,1276.27,0,0,0.6124,0.623394,0,Zn,Yes,Zn,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
241,AMIMAL_clean,11.07211,9.50667,11.06415,0.988926,1269.07,1283.28,0,0,0.6132,0.620066,0,Zn,Yes,Zn,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
242,AMIMEP_clean,11.21563,10.87494,11.21563,0.985981,1260.64,1278.57,0,0,0.6026,0.611168,0,Zn,Yes,Zn,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
248,AMIZIG_clean,6.42874,5.80877,6.41409,1.40393,699.498,498.243,0,0,0.4248,0.302579,0,"Na,Zn",Yes,Zn,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
250,AMODUC_clean,8.56321,6.70069,8.56321,0.575734,2862.5,4971.91,0,0,0.7896,1.37147,0.000694765,Tb,Yes,Tb,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,
